"","pmc","pmid","doi","author1","title"
"174",2585520,18387358,"10.1016/j.bbrc.2008.03.120","Kuhn","Human Chromosome 21-derived miRNAs are Over-expressed in Down Syndrome Brains and Hearts"
"175",2200841,17901249,"10.1182/blood-2007-04-085670","Kirsammer","Highly penetrant myeloproliferative disease in the Ts65Dn mouse model of Down syndrome"
"176",4781418,18457476,"","Marchionni","Impact of gene expression profiling tests on breast cancer outcomes."
"177",1950826,17701894,"","Aït Yahya-Graison","Classification of Human Chromosome 21 Gene-Expression Variations in Down Syndrome: Impact on Disease Phenotypes"
"178",1976544,17446527,"10.1165/rcmb.2006-0471OC","Matute-Bello","Essential Role of MMP-12 in Fas-Induced Lung Fibrosis"
"179",3299406,17048356,"","Gardiner","The Proteins of Human Chromosome 21"
"180",3571077,23424367,"","CARLSON","Oncotype DX Test Offers Guidance For Women Debating Chemotherapy"
"181",1557737,16737553,"10.1186/bcr1412","Habel","A population-based study of tumor gene expression and risk of breast cancer death among lymph node-negative patients"
"182",1435874,16539728,"10.1186/1471-2350-7-24","Li","Cell type-specific over-expression of chromosome 21 genes in fibroblasts and fetal hearts with trisomy 21"
"183",1413912,16492768,"10.1073/pnas.0511150103","Bourquin","Identification of distinct molecular phenotypes in acute megakaryoblastic leukemia by gene expression profiling"
"184",1414106,16420667,"10.1186/gb-2005-6-13-r107","Mao","Primary and secondary transcriptional effects in the developing human Down syndrome brain and heart"
"185",1449707,15716505,"10.1534/genetics.104.035022","Lee","A Second-Generation Genetic Linkage Map of Tilapia ( <italic>Oreochromis</italic>  spp.)"
"186",1074363,15805490,"10.1101/gr.3176505","Ayele","Whole genome shotgun sequencing of  <italic>Brassica oleracea</italic>  and its application to gene discovery and annotation in  <italic>Arabidopsis</italic>"
"187",549172,15318922,"10.1186/bcr911","Fiets","A multigene RT-PCR assay used to predict recurrence in early breast cancer: two presentations with contradictory results"
"188",321684,14715739,"10.1128/JCM.42.1.106-114.2004","Bannantine","Expression and Immunogenicity of Proteins Encoded by Sequences Specific to  <italic>Mycobacterium avium</italic>  subsp.  <italic>paratuberculosis</italic>"
"189",156729,12771203,"","Sánchez-Font","Overexpression of  <italic>FABP7</italic>  in Down syndrome fetal brains is associated with  <italic>PKNOX1</italic>  gene-dosage imbalance"
"190",149411,12495446,"10.1186/1476-4598-1-8","Koul","Characteristic promoter hypermethylation signatures in male germ cell tumors"
"191",2375387,11986780,"10.1038/sj.bjc.6600286","Hirsch","Evaluation of HER-2/neu gene amplification and protein expression in non-small cell lung carcinomas"
"192",1188669,7703219,"","Gerlai","Abnormal exploratory behavior in transgenic mice carrying multiple copies of the human gene for S100 beta."
"193",47587,8415722,"","Pujol","The yeast Candida albicans has a clonal mode of reproduction in a population of infected human immunodeficiency virus-positive patients."
"194",1682988,1998342,"","Schellenberg","Linkage analysis of familial Alzheimer disease, using chromosome 21 markers"
"195",1534980,1975779,"","Taylor","Expression of LFA-1 by a lymphoblastoid cell line from a patient with monosomy 21: effects on intercellular adhesion."
"196",457090,2973410,"","Mundy","Abscisic acid and water-stress induce the expression of a novel rice gene."
"197",344870,6324199,"","Ziegler","kappa gene diversity among the clonal progeny of pre-B lymphocytes."
